,winner,idMatch,pick1,winratepick1,mmrplayer1,pick2,winratepick2,mmrplayer2,pick3,winratepick3,mmrplayer3,pick4,winratepick4,mmrplayer4,pick5,winratepick5,mmrplayer5,pick6,winratepick6,mmrplayer6,pick7,winratepick7,mmrplayer7,pick8,winratepick8,mmrplayer8,pick9,winratepick9,mmrplayer9,pick10,winratepick10,mmrplayer10
0,Radiant,7108714468,86,0.4871,80,137,0.478,80,103,0.5634,80,53,0.3884,80,40,0.5192,80,52,0.4611,80,32,0.5282,80,51,0.476,80,106,0.4986,80,89,0.5447,80
1,Dire,7108713191,85,0.5333,0,128,0.4633,0,11,0.47,0,110,0.4769,0,48,0.455,0,100,0.4532,0,105,0.5084,0,30,0.4677,0,53,0.3884,0,45,0.5187,0
2,Dire,7108683577,69,0.4668,80,123,0.4535,80,58,0.4366,80,54,0.4602,80,120,0.5021,80,86,0.4871,80,96,0.477,80,18,0.5174,80,91,0.4988,80,65,0.5134,80
3,Dire,7108624003,74,0.4702,80,86,0.4871,80,136,0.4949,80,10,0.4552,80,108,0.5067,80,43,0.5069,80,46,0.4813,80,100,0.4532,80,75,0.5201,80,53,0.3884,80
4,Radiant,7108603830,85,0.5333,0,128,0.4633,0,129,0.4292,0,70,0.4654,0,25,0.4054,0,5,0.5139,0,110,0.4769,0,137,0.478,0,6,0.479,0,22,0.4587,0
5,Radiant,7108603480,86,0.4871,0,71,0.5155,0,100,0.4532,0,74,0.4702,0,47,0.4961,0,87,0.4985,80,43,0.5069,80,62,0.5393,0,106,0.4986,72,67,0.4781,73
6,Radiant,7108586711,85,0.5333,80,5,0.5139,80,32,0.5282,80,9,0.5032,80,25,0.4054,0,38,0.4791,80,58,0.4366,80,64,0.508,80,41,0.4934,80,69,0.4668,80
7,Dire,7108552110,38,0.4791,80,87,0.4985,0,123,0.4535,63,98,0.4815,80,102,0.5033,0,137,0.478,74,92,0.4987,80,75,0.5201,80,83,0.5051,80,95,0.4754,80
8,Radiant,7108521153,58,0.4366,0,120,0.5021,0,11,0.47,0,86,0.4871,0,71,0.5155,0,87,0.4985,80,62,0.5393,0,105,0.5084,72,19,0.4524,80,1,0.4769,0
9,Radiant,7108515473,53,0.3884,0,51,0.476,0,58,0.4366,80,55,0.5498,80,19,0.4524,80,86,0.4871,80,38,0.4791,80,89,0.5447,80,64,0.508,80,13,0.483,80
10,Dire,7108514375,112,0.534,0,33,0.4916,0,97,0.4886,0,70,0.4654,0,7,0.4996,0,27,0.4896,0,22,0.4587,0,14,0.4912,0,10,0.4552,0,25,0.4054,0
11,Radiant,7108483382,137,0.478,74,92,0.4987,80,75,0.5201,80,77,0.4987,80,31,0.5104,80,38,0.4791,80,87,0.4985,0,86,0.4871,63,22,0.4587,80,70,0.4654,0
12,Dire,7108444068,128,0.4633,80,49,0.4291,80,120,0.5021,80,79,0.4948,0,29,0.4706,80,69,0.4668,0,86,0.4871,80,65,0.5134,0,111,0.5348,80,10,0.4552,0
13,Radiant,7108442912,85,0.5333,0,62,0.5393,0,114,0.488,0,44,0.4469,0,129,0.4292,0,37,0.5008,0,86,0.4871,0,35,0.4447,0,36,0.4872,0,59,0.5025,0
14,Radiant,7108422410,51,0.476,80,58,0.4366,80,120,0.5021,0,114,0.488,80,5,0.5139,80,85,0.5333,80,106,0.4986,80,41,0.4934,80,123,0.4535,80,97,0.4886,80
