,winner,id,pick1,taxavitoria1,rank1,pick2,taxavitoria2,rank2,pick3,taxavitoria3,rank3,pick4,taxavitoria4,rank4,pick5,taxavitoria5,rank5,pick6,taxavitoria6,rank6,pick7,taxavitoria7,rank7,pick8,taxavitoria8,rank8,pick9,taxavitoria9,rank9,pick10,taxavitoria10,rank10
0,radiant,7108714468,103,48.71,80,137,47.8,80,40,56.34,80,53,38.84,80,86,51.92,80,52,46.11,80,106,52.82,80,32,47.599999999999994,80,51,49.86,80,89,54.47,80
1,dire,7108713191,48,53.33,52,11,46.33,54,128,47.0,45,110,47.69,75,85,45.5,75,30,45.32,75,100,50.839999999999996,75,45,46.77,75,105,38.84,75,53,51.870000000000005,75
2,dire,7108683577,54,46.68,80,120,45.35,80,69,43.66,80,123,46.02,80,58,50.21,80,18,48.71,80,65,47.699999999999996,80,96,51.739999999999995,80,86,49.88,80,91,51.339999999999996,80
3,dire,7108624003,136,47.02,80,74,48.71,80,108,49.49,80,10,45.519999999999996,80,86,50.67,80,43,50.690000000000005,80,100,48.13,80,46,45.32,80,75,52.01,80,53,38.84,80
4,radiant,7108603830,85,53.33,75,25,46.33,75,128,42.92,75,129,46.54,75,70,40.54,75,6,51.39,52,22,47.69,54,137,47.8,45,110,47.9,75,5,45.87,75
5,radiant,7108603480,86,48.71,75,100,51.55,73,71,45.32,73,74,47.02,75,47,49.61,75,106,49.85,80,87,50.690000000000005,80,62,53.93,75,43,49.86,72,67,47.81,73
6,radiant,7108586711,32,53.33,80,5,51.39,80,25,52.82,80,85,50.32,80,9,40.54,80,69,47.910000000000004,80,38,43.66,80,41,50.8,80,58,49.34,80,64,46.68,80
7,dire,7108552110,123,47.910000000000004,80,38,49.85,80,98,45.35,63,102,48.15,80,87,50.33,63,83,47.8,74,75,49.87,80,92,52.01,80,137,50.51,80,95,47.54,80
8,radiant,7108521153,11,43.66,75,86,50.21,75,120,47.0,73,71,48.71,75,58,51.55,73,87,49.85,80,105,53.93,75,62,50.839999999999996,72,19,45.24,80,1,47.69,75
9,radiant,7108515473,53,38.84,80,51,47.599999999999994,80,55,43.66,80,19,54.98,80,58,45.24,80,89,48.71,80,64,47.910000000000004,80,13,54.47,80,86,50.8,80,38,48.3,80
10,dire,7108514375,33,53.400000000000006,75,7,49.16,75,97,48.86,80,70,46.54,75,112,49.96,80,25,48.96,75,10,45.87,75,22,49.120000000000005,75,27,45.519999999999996,75,14,40.54,75
11,radiant,7108483382,31,47.8,74,92,49.87,80,75,52.01,80,137,49.87,80,77,51.04,80,86,47.910000000000004,80,87,49.85,63,22,48.71,63,70,45.87,80,38,46.54,80
12,dire,7108444068,79,46.33,80,49,42.91,80,120,50.21,80,29,49.480000000000004,80,128,47.06,80,111,46.68,80,69,48.71,80,65,51.339999999999996,80,86,53.480000000000004,80,10,45.519999999999996,80
13,radiant,7108442912,129,53.33,75,44,53.93,75,114,48.8,75,85,44.690000000000005,75,62,42.92,75,36,50.080000000000005,80,86,48.71,75,59,44.47,75,35,48.72,75,37,50.24999999999999,80
14,radiant,7108422410,5,47.599999999999994,80,114,43.66,80,51,50.21,80,58,48.8,80,120,51.39,80,97,53.33,80,123,49.86,80,41,49.34,80,106,45.35,80,85,48.86,80
